taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
3,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta angaurana,"Solem, 1976",,,,CR,
4,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta constricta,"(Semper, 1874)",,,,EN,
5,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta fuscozonata,"(Beddome, 1889)",,,,EN,
6,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta irregularis,"Semper, 1874",,,,CR,
7,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta kinlochi,"Solem, 1976",,,,CR,
8,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENDODONTIDAE,Aaadonta,Aaadonta pelewana,"Solem, 1976",,,,CR,
9,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Aaptosyax,Aaptosyax grypus,"Rainboth, 1991",,,,CR,Mekong Giant Salmon Carp
18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Abrocoma boliviensis,"Glanz &amp; Anderson, 1990",,,,CR,Bolivian Chinchilla Rat
20,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,Abronia montecristoi,"Hidalgo, 1983",,,,EN,Monte Cristo Arboreal Alligator Lizard
43,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,Acanthaeschna,Acanthaeschna victoria,"Martin, 1901",,,,EN,Thylacine Darner
59,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VALLONIIDAE,Acanthinula,Acanthinula spinifera,"Mousson, 1872",,,,DD,
73,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Mirogrex,Mirogrex hulensis,"Goren, Fishelson &amp; Trewavas, 1973",,,,EX,Hula Bream
75,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys pallidipectoris,"(Freiberg, 1945)",,,,EN,Chaco Side-necked Turtle
76,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELIDAE,Acanthochelys,Acanthochelys spixii,"(Duméril &amp; Bibron, 1835)",,,,LR/nt,Black Spiny-necked Swamp Turtle
